scope,config_id,molecular,topology,learned,uncertainty,dual_improvement_count,worst_min_delta,mean_delta_ari,mean_delta_nmi,weight_sum
STRICT_LOSO_HELD_P22_K9,M0_T2_L2_U0,0.0,2.0,2.0,0.0,0,-0.17153643028359716,-0.10103754354174746,-0.06095033239371317,4.0
STRICT_LOSO_HELD_P22_K9,M0_T2_L2_U0.5,0.0,2.0,2.0,0.5,0,-0.17126051530862574,-0.10089958605426175,-0.060875374705661955,4.5
STRICT_LOSO_HELD_P22_K9,M0_T2_L2_U1,0.0,2.0,2.0,1.0,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,5.0
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L0.5_U0,0.5,0.5,0.5,0.0,0,-0.17566077028845745,-0.1030997135441776,-0.06243373770202876,1.5
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L0.5_U0.5,0.5,0.5,0.5,0.5,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,2.0
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L0.5_U1,0.5,0.5,0.5,1.0,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,2.5
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L1_U0,0.5,0.5,1.0,0.0,0,-0.17566077028845745,-0.1030997135441776,-0.06243373770202876,2.0
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L1_U0.5,0.5,0.5,1.0,0.5,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,2.5
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L1_U1,0.5,0.5,1.0,1.0,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,3.0
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L2_U0,0.5,0.5,2.0,0.0,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,3.0
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L2_U0.5,0.5,0.5,2.0,0.5,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,3.5
STRICT_LOSO_HELD_P22_K9,M0.5_T0.5_L2_U1,0.5,0.5,2.0,1.0,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,4.0
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L0.5_U0,0.5,1.0,0.5,0.0,0,-0.17109194117325038,-0.10081529898657407,-0.06084793694428081,2.0
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L0.5_U0.5,0.5,1.0,0.5,0.5,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,2.5
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L0.5_U1,0.5,1.0,0.5,1.0,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,3.0
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L1_U0,0.5,1.0,1.0,0.0,0,-0.17126051530862574,-0.10089958605426175,-0.060875374705661955,2.5
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L1_U0.5,0.5,1.0,1.0,0.5,0,-0.17126051530862574,-0.10089958605426175,-0.060875374705661955,3.0
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L1_U1,0.5,1.0,1.0,1.0,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,3.5
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L2_U0,0.5,1.0,2.0,0.0,0,-0.17102304044932481,-0.10078084862461129,-0.060635297617807726,3.5
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L2_U0.5,0.5,1.0,2.0,0.5,0,-0.17498025306791815,-0.10275945493390795,-0.06513955867980137,4.0
STRICT_LOSO_HELD_P22_K9,M0.5_T1_L2_U1,0.5,1.0,2.0,1.0,0,-0.4606432826519119,-0.31781176785991505,-0.23130722323204428,4.5
STRICT_LOSO_HELD_P22_K9,M0.5_T2_L0.5_U0,0.5,2.0,0.5,0.0,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,3.0
STRICT_LOSO_HELD_P22_K9,M0.5_T2_L0.5_U0.5,0.5,2.0,0.5,0.5,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,3.5
STRICT_LOSO_HELD_P22_K9,M0.5_T2_L0.5_U1,0.5,2.0,0.5,1.0,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,4.0
